96989,35,771,678,null
1542,969,590,87,null
148194,545,717,849,null
64320,82,360,820,null
136364,948,639,338,null
56204,473,90,372,null
111241,501,619,965,null
22590,223,998,582,null
106194,490,524,200,null
35356,387,426,319,null
72824,337,661,186,null
8598,132,890,970,null
136300,635,848,617,null
54547,403,711,143,null
95051,508,426,369,null
26343,238,121,659,null
117547,782,888,262,null
148971,199,99,928,null
59799,597,180,52,null
55486,102,113,409,null
66757,321,464,305,null
136815,61,755,142,null
142689,664,549,116,null
118675,578,694,958,null
83312,492,236,506,null
109465,762,311,950,null
124365,609,258,458,null
123011,121,523,476,null
115946,174,76,305,null
79986,281,597,40,null
77388,894,297,976,null
50091,748,270,109,null
76790,504,713,236,null
62717,374,231,655,null
9542,740,523,650,null
92083,728,109,531,null
137799,930,757,670,null
122940,633,947,969,null
139878,840,208,647,null
74148,70,334,95,null
79997,193,939,504,null
142989,528,864,139,null
103903,731,489,237,null
45416,565,117,924,null
5827,65,511,763,null
33975,251,570,83,null
64393,326,985,717,null
38884,721,269,622,null
17298,501,837,597,null
63473,949,413,132,null
51985,37,944,386,null
38216,556,291,361,null
14468,254,787,244,null
33566,737,939,672,null
149585,803,302,411,null
76729,679,505,273,null
98496,333,994,777,null
32720,409,178,853,null
105337,131,960,568,null
22205,352,13,700,null
124712,315,15,961,null
23324,373,894,787,null
41753,536,255,463,null
116085,74,106,232,null
19070,478,369,231,null
116793,981,104,733,null
85433,350,922,634,null
77100,723,23,354,null
83034,69,210,814,null
7372,884,547,843,null
20075,609,249,413,null
147089,991,115,385,null
110734,348,305,151,null
26376,970,690,130,null
112809,897,396,833,null
41524,739,84,948,null
16764,705,794,759,null
19761,391,8,549,null
148775,32,943,718,null
149738,806,405,734,null
83481,191,575,778,null
134383,33,391,847,null
102680,165,353,107,null
46201,860,902,264,null
11783,184,713,737,null
7030,60,781,734,null
11611,503,235,474,null
49660,895,268,613,null
66238,868,152,529,null
122753,10,979,784,null
53363,818,597,302,null
115735,509,39,207,null
91559,335,415,512,null
68045,780,349,655,null
15695,63,793,862,null
2603,160,262,53,null
76427,256,583,932,null
103388,151,911,208,null
101000,949,741,695,null
63652,758,138,753,null
118836,83,791,114,null
20820,558,411,590,null
143600,190,946,439,null
83251,460,794,419,null
103156,560,891,166,null
5497,721,647,174,null
19843,55,634,321,null
140347,218,961,681,null
37451,232,888,900,null
106759,229,499,503,null
82241,288,71,842,null
117300,39,713,389,null
140652,31,646,690,null
44877,891,424,276,null
106117,659,947,522,null
102393,952,131,134,null
134462,841,465,149,null
22911,710,818,135,null
136136,814,48,333,null
75788,158,668,194,null
122854,862,272,175,null
33679,927,999,863,null
109665,514,189,852,null
115077,554,443,929,null
103470,603,618,795,null
59481,418,583,185,null
42649,164,528,431,null
104317,207,621,193,null
54271,30,280,104,null
124395,9,643,192,null
64763,755,64,263,null
26412,63,12,845,null
37243,342,1,275,null
68769,657,266,917,null
148469,742,293,259,null
147759,651,688,499,null
33835,326,875,774,null
63071,362,254,894,null
43593,739,590,624,null
27126,909,696,778,null
126732,648,538,827,null
82931,544,918,545,null
104819,6,818,212,null
59088,836,878,485,null
118101,789,590,647,null
109711,400,103,593,null
33805,842,358,395,null
1193,481,429,781,null
40663,291,9,727,null
143449,96,336,970,null
104694,686,367,979,null
81011,5,872,610,null
51975,890,466,343,null
50284,90,150,625,null
86246,362,613,785,null
38442,896,792,423,null
136909,198,188,987,null
90279,925,159,215,null
57221,618,147,567,null
132624,521,441,593,null
110495,7,753,187,null
49361,109,94,790,null
81438,131,716,803,null
70266,835,751,800,null
74945,247,475,780,null
133248,896,449,851,null
73068,771,723,427,null
75593,259,966,607,null
114960,409,455,638,null
132842,285,796,442,null
97319,638,7,705,null
43990,756,468,965,null
93616,497,707,983,null
111403,450,699,620,null
104860,936,732,198,null
30905,849,535,705,null
142249,765,477,421,null
140037,466,215,399,null
88151,860,314,44,null
23059,96,527,78,null
105281,385,381,393,null
2809,503,64,528,null
141945,134,827,573,null
15727,661,193,134,null
22003,449,38,18,null
127956,453,42,71,null
66048,959,65,500,null
114968,925,551,144,null
89347,59,975,61,null
104279,709,903,402,null
113093,491,570,967,null
145421,659,45,551,null
9617,363,546,434,null
16300,430,318,419,null
75445,803,37,298,null
93821,775,738,985,null
110059,842,811,275,null
100511,330,558,334,null
104603,134,279,927,null
129101,862,331,666,null
60929,291,196,222,null
131288,327,629,800,null
24107,439,546,617,null
90304,472,455,392,null
110457,735,905,758,null
24798,459,966,614,null
55351,637,137,379,null
123331,221,953,281,null
73009,676,923,491,null
142869,77,575,480,null
42762,489,463,608,null
7454,77,508,196,null
30484,884,394,917,null
148591,5,989,440,null
25335,273,643,351,null
37066,8,433,276,null
123898,555,374,514,null
3630,63,629,992,null
108911,162,857,462,null
88984,5,1000,72,null
92448,820,590,810,null
116385,903,466,320,null
132868,488,287,210,null
683,555,615,660,null
113557,251,752,191,null
117097,264,689,7,null
58856,511,962,921,null
75210,620,958,196,null
38592,236,760,997,null
119616,148,763,548,null
132058,331,446,65,null
88570,63,498,657,null
68818,182,339,943,null
6839,753,27,132,null
20652,269,245,140,null
46053,861,413,129,null
114141,236,258,281,null
113162,334,309,702,null
61517,334,374,849,null
115285,290,831,682,null
98524,378,723,251,null
47757,132,832,500,null
84660,409,241,577,null
79477,392,625,201,null
100511,698,596,301,null
21368,647,808,43,null
116460,547,20,737,null
115396,408,769,280,null
134451,269,832,737,null
118740,737,334,849,null
37197,39,432,326,null
19618,784,323,843,null
42205,227,188,354,null
88624,332,371,441,null
9587,255,164,320,null
74434,521,458,224,null
2490,321,846,397,null
60491,118,541,160,null
46064,516,546,946,null
82065,817,752,178,null
141688,259,962,470,null
140184,73,556,105,null
126494,564,675,191,null
105233,303,590,150,null
65024,503,527,721,null
65971,174,86,978,null
34713,667,958,232,null
30329,988,407,476,null
68188,990,779,234,null
128276,97,677,111,null
62161,17,511,366,null
114824,660,629,597,null
120600,341,826,264,null
64676,919,946,312,null
75380,54,16,478,null
101254,367,551,778,null
79286,13,897,772,null
22360,640,125,997,null
15010,398,487,98,null
118353,490,479,42,null
49084,146,213,309,null
77093,60,908,491,null
91611,900,308,670,null
15606,845,870,785,null
24983,771,567,452,null
119518,922,997,70,null
41903,70,36,267,null
28174,927,513,909,null
83278,492,268,979,null
91043,852,18,388,null
80628,906,717,137,null
131727,765,220,983,null
123746,191,343,151,null
24541,902,476,382,null
6448,986,110,903,null
22198,436,304,178,null
100551,134,488,637,null
102815,501,35,765,null
124022,653,88,431,null
48220,553,164,129,null
50954,920,567,371,null
37696,177,812,307,null
120376,545,942,901,null
92690,641,622,399,null
92767,126,816,748,null
42139,7,316,949,null
115409,720,699,427,null
87922,364,363,588,null
5824,621,209,63,null
89061,474,49,567,null
106613,451,348,280,null
10246,266,950,843,null
64316,226,418,542,null
57388,716,408,762,null
128952,162,470,429,null
21668,645,266,844,null
36199,983,549,220,null
76014,557,239,579,null
57574,523,292,47,null
63376,105,153,361,null
82576,734,229,140,null
105130,3,374,552,null
15843,957,840,439,null
20439,331,525,523,null
65858,542,165,355,null
136313,773,362,314,null
51297,286,493,323,null
91403,599,57,958,null
124130,867,24,57,null
114757,42,593,68,null
61401,16,928,820,null
144353,696,414,645,null
111528,472,6,425,null
47203,218,308,837,null
63449,264,317,435,null
17977,92,468,7,null
66081,205,652,657,null
36002,629,858,29,null
108788,219,649,650,null
44986,96,306,162,null
149029,319,955,501,null
68504,791,281,768,null
104263,314,582,85,null
132409,102,724,491,null
6523,383,218,862,null
61901,555,969,668,null
118813,16,529,423,null
