62113,251,enjoy
72277,717,with
37538,965,sell
13179,659,front
18447,960,many
82400,529,today
9864,157,let
25194,702,back
57568,875,five
45572,251,quality
52823,520,physical
3321,201,keep
52119,531,accept
5259,409,want
3313,245,lose
18299,473,Republican
34181,929,my
65742,500,grow
6663,939,ability
73493,362,drive
6946,690,security
26501,69,agreement
9897,356,will
41093,468,professor
26205,509,main
59244,496,kid
38795,3,each
12480,566,only
33497,535,provide
40068,819,parent
54781,995,knowledge
15972,592,senior
84010,170,particularly
29646,642,even
1531,151,south
41603,196,choose
2937,709,American
34819,438,image
66622,787,clear
69223,353,true
7249,889,yes
22292,762,room
58348,68,nothing
15074,340,see
58912,563,southern
45557,969,church
37510,844,send
50393,342,gun
62009,481,culture
40729,346,talk
70579,808,there
86221,911,now
45489,452,black
77868,215,create
65933,223,she
6922,703,action
56926,730,herself
3248,701,popular
66945,364,feel
32761,467,during
121,54,few
27963,638,natural
80623,237,past
38185,56,plan
58025,427,author
43884,657,those
77108,255,leg
32451,791,just
71484,117,bill
13946,169,win
53860,625,blood
82606,334,better
62925,910,set
48222,779,cut
36833,626,lead
70209,7,read
1075,184,item
70933,10,raise
56801,88,seem
25051,18,try
32561,388,attention
87328,932,artist
67001,996,heart
29606,280,series
39729,429,size
43425,311,authority
634,345,company
34199,375,low
388,796,executive
83356,695,would
45450,124,power
29582,767,add
47160,646,trip
61650,103,very
57939,231,cultural
70204,939,cup
78848,253,fight
57594,200,two
77596,631,after
70159,425,difference
29207,58,maintain
18232,491,short
46523,431,support
69077,541,population
83954,768,ability
16648,888,pressure
2656,964,religious
81289,933,friend
52739,106,always
6971,318,church
38082,482,bill
3889,312,role
54491,730,wear
31023,547,while
10157,830,until
70990,923,send
42918,505,event
83428,968,country
68368,802,very
10999,273,management
31393,268,common
76462,347,main
21635,124,operation
44069,743,industry
61237,390,figure
74692,264,democratic
77959,162,audience
46519,971,remain
55917,59,issue
30983,621,always
18172,711,energy
59837,651,property
11230,751,rule
69114,213,hand
54475,786,trouble
76601,288,crime
4433,113,must
75554,718,rate
28735,339,that
83385,498,long
82237,354,upon
59590,515,bar
43806,295,medical
64477,720,firm
13774,307,agency
74018,567,add
10410,319,can
84007,290,blood
47347,101,field
51147,566,executive
70404,770,approach
74689,527,local
61735,462,education
61071,830,seek
23092,184,charge
1035,997,mother
52688,439,admit
64927,71,break
77930,68,actually
28736,385,similar
4409,373,former
30396,234,camera
44189,516,should
58612,784,full
23683,976,brother
29672,575,of
18238,658,detail
27047,229,send
82086,200,three
13579,289,fund
55619,758,save
22829,406,father
44105,881,hotel
66267,388,interest
74445,274,professional
23679,268,nature
72202,774,professor
63924,49,piece
45784,250,spend
33143,912,nothing
811,165,perform
65209,566,do
12607,237,single
86406,516,husband
78182,932,energy
76299,381,glass
45218,889,may
67194,416,production
57248,948,western
33452,638,treat
85358,8,performance
87521,188,left
75648,112,nice
48103,152,various
9295,633,item
25821,115,show
31162,14,seem
5242,865,listen
33404,184,activity
51779,335,off
10928,129,foot
43142,460,half
6008,575,almost
78590,21,major
67351,605,early
78800,654,serve
79850,138,tree
69090,275,pay
20543,231,process
18286,421,heavy
7272,310,crime
41895,173,hospital
64777,684,thing
23544,652,north
58684,28,that
45932,758,business
81923,870,major
72868,558,former
28391,959,firm
82831,549,vote
54750,576,west
48562,238,fire
87360,660,around
55037,469,international
20948,574,add
25771,264,leg
9995,55,friend
3338,408,save
41291,112,adult
31995,648,public
68159,718,political
10168,534,of
28062,70,together
60197,466,bag
39289,120,realize
1920,996,state
25599,305,parent
84433,310,bring
43201,298,phone
19221,93,whom
53710,876,way
54236,563,nor
68410,422,five
9540,427,appear
51214,134,somebody
48055,902,note
64336,411,suggest
29042,862,can
27602,786,person
68073,346,five
9314,348,better
47219,914,science
75358,183,effect
21865,757,next
22492,412,large
44169,784,realize
48196,955,him
54101,512,sit
55310,449,age
72126,687,moment
64462,719,deal
4785,684,serve
58789,686,himself
42853,551,trip
37784,833,summer
60226,447,whole
56340,882,series
7145,823,data
50484,939,choice
19917,774,short
82026,366,picture
22827,926,admit
60828,545,child
709,970,church
86734,726,despite
20891,68,similar
52588,937,weight
64694,76,practice
21548,363,simple
13107,108,for
51109,205,movie
20162,969,idea
67977,904,year
33750,720,food
61619,300,radio
3906,881,really
50875,756,focus
35524,4,line
12785,810,four
10609,839,term
82857,47,subject
51232,456,garden
74172,259,tend
15814,139,same
80041,674,life
17126,502,let
22930,441,then
79762,971,simple
14119,207,hand
55861,875,area
18150,398,present
66629,344,phone
26269,742,out
66488,451,sister
17618,137,here
11844,714,yeah
63308,734,throughout
59943,424,with
36203,386,lawyer
15981,243,protect
26593,501,realize
77345,985,daughter
47204,834,ground
22236,270,avoid
44138,757,threat
6870,689,player
63340,111,program
2432,409,may
14486,500,impact
60652,311,analysis
32835,201,skin
69243,865,attack
12641,893,huge
11259,879,rule
46940,372,bed
14058,634,why
56981,513,authority
83214,129,member
50728,516,send
62522,373,exist
86040,169,could
60291,312,thus
9127,808,treatment
65965,643,sea
14552,191,occur
45539,212,region
19655,305,person
650,827,kind
68182,594,hard
59334,364,only
68511,120,figure
57243,931,perhaps
5563,655,peace
79844,1000,international
34119,740,brother
31939,123,usually
78763,828,believe
78090,392,example
33147,337,air
33444,440,last
20734,453,little
73500,365,arm
60754,139,create
52536,873,next
80416,492,them
33710,726,piece
10273,568,true
45451,185,information
66854,891,six
80552,943,heart
13455,542,real
76503,731,figure
12841,183,scientist
37904,568,expert
34551,378,trouble
68513,27,professional
62414,691,able
19559,342,likely
66143,447,exactly
76971,763,actually
46332,952,firm
74698,835,quickly
48152,821,heavy
15270,503,note
54890,532,every
51041,44,development
78124,244,camera
28504,417,activity
12484,305,although
48146,429,try
60490,699,station
62078,323,different
28711,128,organization
66754,227,member
83395,815,charge
76154,60,cold
70653,612,begin
39134,875,better
66801,432,research
45166,212,price
31508,928,energy
11667,954,commercial
35691,236,focus
82543,148,send
45213,338,tend
49878,218,population
12219,848,second
9867,782,grow
25822,654,green
19316,375,answer
11033,999,whatever
39884,679,audience
44481,64,author
32924,779,charge
38566,270,reflect
11545,365,mention
8827,474,nor
8270,923,begin
60180,753,specific
45375,807,reduce
16740,973,knowledge
83867,251,meeting
22196,299,center
38699,126,whose
44690,640,scientist
11617,61,everything
669,913,blue
74463,970,door
26874,980,ask
66078,74,situation
42161,833,weight
18802,323,pressure
44074,205,before
25278,58,too
36847,398,expect
30163,113,determine
66636,820,writer
77299,35,operation
21838,191,sit
14111,563,why
80240,629,case
22748,986,establish
66476,877,run
69770,796,range
70200,126,imagine
62250,610,simply
33205,469,your
83224,583,make
38653,224,down
74098,475,small
63201,309,skin
56579,802,firm
58257,126,structure
75646,29,water
54802,155,truth
80262,668,experience
10601,568,painting
27348,688,president
34515,679,information
43385,714,of
28061,281,picture
67249,95,outside
49861,123,upon
17401,64,try
58752,97,help
19197,290,pressure
11665,355,financial
72389,419,course
8424,495,tree
77425,453,lead
61020,698,citizen
71112,807,the
238,863,left
60627,910,receive
20226,810,but
13558,839,area
9077,582,former
30859,770,Democrat
51229,728,attention
69229,807,part
13059,21,second
74894,782,moment
27973,759,father
70832,494,including
31596,866,around
14435,746,difficult
80374,882,wall
14485,694,certainly
46870,142,environment
42582,897,outside
4465,867,none
35006,563,source
71120,243,magazine
3775,257,management
67946,482,want
47689,520,hotel
37408,534,training
27816,879,our
15933,308,employee
75107,522,director
84453,557,nature
66876,975,small
37811,678,blue
24570,101,capital
32808,955,already
43164,710,sea
72987,210,movie
49873,171,activity
71172,571,type
34772,122,wait
3324,900,five
46445,77,challenge
31186,964,ask
30561,629,base
28853,1000,word
3447,61,bit
63188,496,leader
413,507,protect
21157,249,grow
12485,964,economic
51379,890,have
82694,845,across
5524,723,prove
43012,90,drug
59332,557,instead
54301,541,increase
66145,535,father
86520,697,course
7411,307,marriage
5501,736,different
22057,322,have
45382,365,quality
19539,980,clearly
82946,373,generation
66598,214,woman
10206,110,music
33236,849,product
10191,630,drop
73670,187,help
62137,69,stage
43202,593,but
39475,728,mother
30478,261,side
23143,478,take
78841,944,teach
5928,135,four
83470,913,voice
32765,860,population
13836,745,look
68101,70,cut
29156,773,TV
67857,564,him
10587,587,course
53206,509,produce
13131,633,young
51441,63,leave
6708,806,once
34226,706,manage
65357,496,yard
59615,531,former
17528,274,realize
52215,761,become
20987,848,population
54319,135,approach
52165,946,third
53578,205,benefit
3284,504,bar
66507,671,notice
21277,598,always
43525,304,suddenly
30777,707,specific
81530,148,bit
33128,279,state
13521,306,movie
991,227,themselves
22936,509,determine
59624,491,send
28107,823,threat
62823,14,decade
17381,484,sport
77881,921,material
44958,955,I
33463,183,hand
42639,135,just
26831,528,might
12410,128,letter
39866,769,factor
69833,483,marriage
57845,661,cell
25180,749,run
55083,922,arm
62212,705,project
69483,961,media
37697,937,what
72268,16,hundred
5483,188,chair
3044,5,rather
26206,832,seat
40864,707,court
44451,834,eye
47904,679,risk
50726,553,response
77128,404,early
84301,939,growth
23440,179,big
71166,701,current
71245,491,early
10313,591,career
55684,719,message
76265,603,alone
48857,585,her
76132,821,point
43885,901,management
10238,114,many
14071,268,blood
11668,357,better
5808,305,culture
42863,684,program
55550,103,wide
10080,324,author
62240,422,land
72303,182,above
21611,270,kitchen
87173,563,production
9829,541,some
18209,814,number
87075,627,together
72518,899,heavy
45111,365,before
50857,505,enjoy
20041,930,several
69394,955,table
75271,75,age
35424,377,industry
52979,897,partner
85551,112,sort
61304,524,wait
79259,915,every
50946,718,quality
75729,547,new
64053,875,professional
82931,600,we
47950,433,identify
39173,514,physical
71195,179,second
63445,313,data
83789,411,include
51202,827,social
6249,643,town
53932,173,bar
83694,901,tough
70363,901,partner
27598,346,PM
30505,347,health
47264,248,option
30228,636,appear
34343,445,meet
20317,894,together
56933,578,unit
74130,196,indicate
30587,587,citizen
72426,407,note
79343,302,coach
51657,480,consider
47614,158,become
38436,463,tend
17077,302,spend
4822,182,rate
66242,881,budget
68787,247,surface
85942,664,far
71218,68,five
42674,342,member
30020,399,own
22984,379,job
54611,903,establish
10012,815,arrive
2558,208,build
45563,16,pass
64373,812,listen
78779,421,building
47646,94,spend
4982,193,set
86242,303,soon
50909,919,others
20360,721,head
5162,820,little
5114,804,meet
16327,125,next
24319,1,professional
43442,896,remain
76299,821,certain
53168,988,instead
16233,691,small
64474,757,keep
74176,676,woman
61600,219,new
54810,574,foot
63600,309,son
24398,625,future
29050,557,court
49126,736,key
73814,345,level
9508,38,somebody
21398,719,position
70686,263,knowledge
62434,393,certainly
27377,702,see
7557,11,protect
59549,829,cover
43905,700,drug
55669,195,way
50285,382,consider
64876,945,himself
8459,289,pull
14154,518,value
41774,918,drop
38084,582,short
66534,72,business
75728,566,security
32377,969,education
71191,647,book
86530,415,language
72212,228,view
84918,594,management
54526,438,near
780,42,black
45662,336,particularly
64435,109,suggest
73343,703,management
87092,980,decide
22400,903,spring
82210,751,game
70243,291,maintain
38786,932,choice
