1216382,808,rich,total
1379027,880,individual,Republican
641022,818,often,few
563693,976,song,theory
708766,713,present,next
520584,185,become,song
361073,976,author,to
139232,470,kid,store
251725,307,growth,power
1235267,254,question,study
17379,514,trade,quality
1460793,989,fast,edge
159143,196,oil,prove
667559,666,quality,crime
199715,589,culture,mean
345558,315,race,sure
1387634,192,now,woman
616434,171,team,indeed
1179932,520,college,democratic
1083793,453,artist,best
574844,70,room,stock
813208,725,activity,both
239240,513,wait,quickly
1257287,493,talk,can
1079151,333,American,message
1207811,953,quickly,include
404694,179,challenge,four
1065897,547,worry,dinner
1370747,944,financial,free
979910,824,relationship,anyone
871241,23,business,seek
694001,37,successful,pressure
215991,405,establish,movement
478098,8,property,century
192973,155,product,method
779566,801,just,beyond
1025706,75,natural,stop
740648,712,actually,message
1089354,541,vote,act
508730,537,last,apply
708762,670,will,interest
486332,955,manager,close
636098,752,career,walk
1363026,432,set,foot
158509,266,inside,ground
1490318,862,change,be
1401736,855,spend,small
1461270,887,event,hard
1185995,563,sell,station
229240,166,glass,man
361757,167,fact,listen
409534,587,since,it
286501,852,pattern,debate
774385,335,bag,receive
920074,9,bad,piece
110118,154,anyone,consider
105679,992,party,Republican
547570,310,less,plant
979977,12,enough,tonight
739715,792,drop,without
970816,167,option,upon
957402,691,part,eye
907269,309,these,daughter
795874,103,amount,drive
699637,38,today,wait
9874,835,audience,line
94363,254,firm,conference
1265814,515,exactly,brother
1056988,321,let,ever
1402504,508,summer,situation
455006,537,audience,buy
713284,392,among,onto
659363,779,compare,side
845526,521,five,network
1222970,82,stop,technology
385292,560,have,protect
123367,524,better,table
287788,595,particularly,including
151609,943,government,attention
1342741,560,type,improve
288653,800,person,difference
772009,974,rest,tell
761665,7,rule,group
1535450,839,bad,lawyer
257453,374,couple,television
474482,942,late,several
1221022,408,various,tend
1516086,902,film,rock
481673,347,special,can
1015582,833,account,develop
266175,240,scene,in
291561,65,apply,different
818892,222,step,listen
393236,134,sometimes,management
214418,727,represent,environmental
1416599,670,but,grow
699311,855,several,which
526449,567,note,raise
469872,565,thank,radio
1184573,901,find,full
216410,822,figure,pick
1285588,411,check,wait
22161,948,into,issue
480984,319,approach,laugh
194630,110,which,life
694894,973,respond,region
191660,905,not,music
434291,84,many,improve
463434,589,guess,its
353294,814,price,along
121275,883,indeed,line
361971,582,find,there
492911,385,woman,box
1232478,665,reveal,chair
1026048,956,teacher,defense
475612,943,next,per
862877,243,face,focus
31569,374,represent,during
1198469,791,doctor,value
1324247,663,project,reduce
444398,781,watch,do
162775,641,tax,apply
242054,365,much,hit
922743,807,five,nation
689978,636,growth,not
933596,251,themselves,share
672295,5,fear,consumer
1413035,568,go,start
1021071,505,speak,leg
1493307,989,American,fight
62524,695,line,old
123476,322,appear,avoid
199601,75,consider,east
1222251,952,green,light
1274246,331,sit,report
1101607,525,later,decade
584224,149,court,drive
719541,847,garden,voice
754859,319,course,success
615129,31,history,position
1043988,950,data,compare
907894,336,discover,agreement
832271,766,produce,certainly
1126915,663,pressure,form
366824,666,ahead,tell
160508,283,into,similar
1376413,731,role,information
904224,166,age,modern
1216007,614,return,institution
698727,250,hear,husband
300164,760,risk,though
990514,9,money,condition
399825,418,between,method
489028,507,north,four
583174,566,authority,require
1519271,466,performance,factor
1235092,927,mother,offer
1240484,942,color,maybe
845006,984,west,soldier
1094066,425,prepare,perhaps
9432,861,bit,actually
709275,411,statement,hundred
17369,831,high,test
1464160,964,little,as
545418,48,marriage,line
797706,430,coach,clearly
296553,105,short,time
1401025,97,past,home
664430,720,throughout,officer
676773,440,indicate,detail
489975,92,change,speak
850607,866,provide,huge
