71988,9045
34084,37795
27075,14114
129649,19095
108990,57004
110289,33248
83042,52537
82355,67954
75367,38578
64065,12514
89594,53262
33711,59218
117900,28861
80683,84874
1812,5522
117253,71827
28295,88967
19395,73780
45984,89130
109038,46481
13976,36467
58508,40331
37928,48868
88245,94943
35687,92246
84625,48329
50381,66348
2773,64683
67762,18312
3224,49403
84818,100471
44529,80071
14490,12107
86289,100377
3619,66166
13575,25966
93735,90400
39327,10236
43261,44171
15232,72898
59601,11345
34858,52337
67644,9300
28722,45795
13231,7252
74591,83502
64989,42150
61556,14251
22842,80867
55548,35764
39669,100218
103770,32694
117075,42728
15827,11362
54670,102376
74861,75637
121986,29022
117343,75093
76188,61864
15084,32382
70661,96657
16636,84952
93211,14572
133516,2258
58950,25477
101423,98560
43407,59844
61215,98529
116510,88701
50138,40238
109415,7152
120949,24812
48245,80715
127870,51417
74346,62347
6601,101217
92509,17793
120640,14109
117107,65541
12682,61860
51004,86559
95276,93521
115962,53144
106883,3264
52946,1489
48201,60419
39883,12358
130957,90276
104675,97642
121681,11084
69809,18372
53044,88457
121733,61654
54781,17506
6110,61682
25107,58544
32633,10691
60333,37644
26386,8990
57123,704
7629,53866
126901,40929
45776,74617
67703,52268
126592,59557
24795,19132
18460,43939
67923,35032
15096,54035
51622,10117
107978,26281
127117,11642
44724,8963
100042,97499
31425,3348
34071,66441
109637,12045
9722,63256
35110,39338
38247,2957
30702,95942
10902,82501
31650,84044
133808,48488
12026,39759
117246,97358
55009,96563
60516,19843
25878,64927
2363,69725
62013,70955
70139,15055
67457,58015
58085,76621
89188,19584
122142,74106
2321,52368
15181,13923
34446,18301
51192,102735
55314,97270
131026,27635
132538,2870
84754,7408
11315,82954
50322,13491
74551,82213
104984,37861
51544,57836
25226,100301
79178,4941
80196,32744
22373,49297
101014,70160
131574,31788
70721,38709
130821,85020
63836,29713
2355,76591
73859,59257
42773,81202
20381,80749
13037,88428
87782,44939
108657,43998
95897,83192
11140,32550
103500,35398
38174,101005
2449,99487
24142,9452
129585,10978
5792,90034
50841,78438
55940,9276
122273,46624
32364,6225
56749,59399
113081,56461
55503,25497
130745,25054
5662,70808
47942,61908
79076,103063
3045,92740
79680,104096
45977,30438
128024,103062
60204,103675
97720,43400
26858,90206
54428,80834
101700,16221
25566,19474
76420,56661
126022,98867
58965,31460
2824,34392
103557,45589
115069,30150
75544,93080
49200,38616
103171,15447
50942,81679
51485,5947
112844,60961
49569,40278
43888,93866
91740,14164
24803,26526
7023,56378
56916,41443
120695,101645
124984,84756
102751,98943
112436,55842
107283,94938
61406,56025
56763,54868
48918,38059
11530,83480
119337,80505
8988,9639
35259,51679
111953,84682
55880,48692
88758,20673
66304,62389
22002,89544
31531,9243
116478,13713
91008,10829
67307,38105
98190,76186
114740,65061
108039,75758
100479,11636
127821,5410
12892,14233
112420,57901
47035,22649
72530,637
109173,101730
36231,56372
45195,96470
54591,30287
23422,79044
55945,51013
60757,25537
87298,12561
127860,49523
122121,11006
84868,97356
120035,76875
80662,66755
123183,6117
67493,51214
96275,27595
45420,26893
52548,52841
131141,39988
7586,54204
56957,64751
114936,70255
58475,31194
57244,37333
80306,26181
19034,67599
110105,6524
16520,92752
36355,33832
115551,5278
119685,39843
121378,95034
132935,38751
110513,68567
39407,21456
2257,44288
1032,50117
4018,59445
31757,84100
17298,93175
99965,73554
90441,49813
16043,87782
53054,18679
105607,93658
8144,33192
7480,20558
102757,74972
115716,47188
35252,82407
49225,65946
64223,16754
1500,48271
70619,67394
111927,69636
31403,14930
71160,21286
59527,74422
71151,73801
22449,9030
14994,6050
7758,50996
99686,93233
121034,67447
76864,57618
110803,97378
27108,92674
27847,71440
132303,21567
127516,8023
67563,67810
6899,13971
3779,40223
26488,101170
348,6268
99918,27196
128232,71990
48974,67456
95718,70961
55522,89827
32668,26397
44109,21322
16605,81105
43652,102786
95244,89741
13685,8473
51486,85411
40343,91827
117877,59679
35041,74957
46342,39972
6245,61845
88350,98618
9486,13326
88306,85703
103830,101588
80447,12880
117701,29698
103380,8521
6293,101647
15141,79148
52453,14181
70888,21610
62980,26094
43805,38245
45906,84888
75347,45701
28379,63662
104514,27557
93165,51273
46513,44012
85247,9543
76106,72931
79998,102870
129953,4624
126774,59654
87251,42998
51333,7613
39653,86879
104352,9015
56323,64219
95880,13523
8127,29025
28367,19943
120732,12000
50920,91268
48094,12945
95947,97578
123314,101825
2535,19595
24679,75640
23101,61675
63283,54605
100508,19711
18037,35328
72381,67909
23484,33999
53750,10604
48268,82254
3709,17620
68763,42208
61887,68111
21754,5376
5144,70027
27993,55106
133887,65350
17219,43428
55303,26126
51834,60317
68366,43986
51183,56421
71319,78023
112438,41389
121027,45311
120379,26861
26256,74835
133134,14331
55259,74181
113141,43942
127678,82957
118743,84385
76369,33647
107305,63936
55064,12629
20078,11413
125207,74104
55936,92452
127558,23685
82481,70005
97163,88783
115095,24355
90982,29955
121859,74257
115423,54571
91715,69787
79601,69645
22478,25267
44734,94829
28469,26999
97228,70451
130522,5443
75948,54921
21259,62002
78910,75211
37592,15851
16893,12869
68037,69858
62373,94831
