1079942,716,policy,agree,Port Bethanyhaven,large,economy,both
1205170,186,quality,thing,Brianshire,quickly,cell,approach
789560,681,himself,health,Tanyashire,drug,commercial,realize
749761,785,drop,generation,Lake Jordanview,source,allow,situation
719265,531,to,resource,West Richard,history,should,far
987802,613,bring,data,Edwardburgh,trip,now,agreement
1224209,962,whatever,piece,New Rebeccamouth,stuff,role,sell
952154,73,understand,decision,East Dawnbury,deep,born,hit
876963,688,send,poor,Edwardside,class,treat,military
1127621,410,anyone,lawyer,East Brittanybury,apply,will,magazine
1006982,703,report,any,Lake Tyler,music,actually,push
1293351,350,size,three,Port Elizabeth,suggest,onto,other
571080,415,save,speak,New Traciville,plant,success,trade
639399,621,event,rule,West Richard,natural,medical,I
1048646,324,receive,he,South Loriberg,during,hour,drug
1208169,264,citizen,site,Port Willie,PM,argue,run
1078477,488,still,most,East Justinfort,top,history,full
761202,474,I,tax,Derekfort,beat,language,here
702685,437,hair,charge,New Nicholastown,security,individual,answer
926637,802,drug,among,West Joseville,teach,citizen,who
300843,210,nature,really,Klinemouth,brother,least,physical
431013,197,off,price,New Sarahtown,ok,conference,clear
548551,985,perhaps,draw,Troybury,how,discover,bag
1283273,83,someone,learn,Lake Brianna,professor,gun,sure
837105,444,law,until,North Kyleburgh,real,guess,cut
1148404,81,beyond,large,Port Kellyshire,rule,for,itself
1309965,790,story,development,West Margaretshire,enjoy,whose,effect
1214528,315,save,who,Marystad,budget,hit,interest
459096,46,message,nation,Port Kennethbury,official,still,game
465806,852,that,about,Silvaberg,author,very,kid
944884,704,create,will,North Ryantown,me,none,nice
1052297,750,turn,phone,Johnsontown,rich,attack,might
768947,857,clear,war,East Charlesborough,foot,carry,give
849179,39,will,keep,Jenniferborough,gas,produce,continue
981402,57,soldier,police,Collinstad,certainly,program,piece
669439,261,white,red,North Kurt,with,form,some
980488,772,Mrs,hope,North Dennis,join,born,quickly
1093657,54,food,care,New Phillipbury,since,strong,pattern
1254953,135,best,provide,New Alyssa,form,number,leg
471285,66,more,key,East Amy,give,recently,teach
