18808,741,everything,democratic,painting,investment,null
7293,282,statement,do,really,individual,null
36634,412,surface,deep,protect,attorney,null
41155,869,indicate,true,apply,traditional,null
38244,652,produce,east,successful,degree,null
62265,980,side,indeed,inside,exactly,null
68060,273,like,scientist,identify,decide,null
40186,944,true,land,indeed,natural,null
24398,551,friend,simply,lot,analysis,null
46934,724,family,up,last,activity,null
73891,711,walk,crime,street,themselves,null
40692,290,job,stage,ago,city,null
69217,727,themselves,pressure,mean,still,null
59685,805,accept,bar,security,they,null
79557,664,whether,join,food,including,null
11235,831,water,land,in,series,null
40193,592,important,they,economy,into,null
60498,352,trouble,military,exist,age,null
45444,921,fund,feel,lead,cost,null
30481,191,decide,game,leave,body,null
34349,449,pull,hope,view,join,null
23288,79,center,himself,choose,ten,null
70414,901,husband,similar,front,raise,null
22531,659,among,chance,college,it,null
22998,186,course,nature,well,expect,null
1964,396,food,itself,feel,least,null
37473,832,yes,second,south,look,null
7239,243,establish,interview,financial,toward,null
78234,223,account,every,never,blue,null
19307,674,about,his,talk,natural,null
45860,683,teach,even,effort,note,null
23088,39,nothing,face,she,citizen,null
1632,346,spring,traditional,risk,different,null
67692,826,summer,suddenly,international,of,null
21775,889,whose,myself,allow,explain,null
50717,755,reality,easy,around,tax,null
702,536,happen,possible,available,raise,null
42688,965,top,thought,citizen,early,null
8395,832,white,bar,very,Republican,null
37973,30,you,interview,defense,financial,null
60145,95,minute,field,quite,thing,null
55444,372,foot,enter,prevent,they,null
12794,235,quickly,manage,follow,collection,null
24675,978,analysis,write,be,bag,null
30314,452,mean,seven,central,conference,null
21529,421,show,against,own,up,null
27244,102,above,store,wrong,technology,null
43455,736,hour,education,field,discover,null
2683,701,property,line,important,bank,null
1841,557,around,single,per,computer,null
2234,882,garden,glass,threat,audience,null
6310,701,each,major,new,pick,null
41383,364,rather,break,increase,chance,null
41060,797,figure,probably,level,leave,null
53996,606,development,who,free,body,null
28970,732,scene,into,action,position,null
31420,975,race,actually,certain,billion,null
17620,9,break,drive,present,service,null
19816,571,happy,hear,compare,staff,null
49227,126,article,above,give,relationship,null
55523,565,couple,few,difference,deep,null
70286,596,country,several,manage,traditional,null
11361,176,remember,environment,month,scene,null
36432,40,draw,choice,threat,concern,null
26998,137,operation,item,structure,around,null
9045,280,hour,man,in,beyond,null
24623,977,hard,shake,agreement,soon,null
52736,256,car,pick,plan,school,null
16567,228,my,inside,next,southern,null
13751,310,that,nice,election,same,null
13870,405,some,water,food,election,null
26793,744,my,present,manage,often,null
25846,384,better,seem,there,maintain,null
60894,770,who,building,once,degree,null
12992,484,side,phone,set,out,null
55078,999,field,want,carry,small,null
43870,283,traditional,morning,provide,new,null
53435,356,first,hard,seek,hard,null
8274,765,ago,tend,message,real,null
47954,229,season,environmental,agree,sort,null
31332,184,newspaper,hard,he,answer,null
76986,260,citizen,ground,best,approach,null
29438,925,site,live,build,sign,null
69564,427,case,six,right,positive,null
76943,822,kind,thank,knowledge,treatment,null
36459,42,receive,mention,smile,recent,null
74083,712,century,accept,necessary,idea,null
21589,135,draw,under,letter,enjoy,null
11078,510,board,however,player,ok,null
17976,820,month,interest,sometimes,natural,null
8755,438,seat,between,hair,last,null
68466,752,environment,assume,travel,head,null
72828,977,machine,world,drive,fill,null
39413,221,under,once,teach,true,null
36194,196,cell,evening,short,crime,null
56084,135,out,night,save,power,null
73654,479,nation,town,old,school,null
15514,74,consumer,sound,city,itself,null
58522,820,take,conference,agree,hot,null
51403,788,share,smile,better,watch,null
27269,302,draw,effect,somebody,ten,null
65457,59,stage,treat,add,the,null
68103,989,stop,much,newspaper,director,null
30578,495,could,add,will,foreign,null
18332,834,front,until,without,buy,null
48057,562,pick,become,election,most,null
51884,52,tell,scene,age,store,null
5020,554,material,charge,experience,scientist,null
42729,70,claim,cultural,in,decision,null
54377,87,civil,commercial,character,let,null
507,482,long,property,whatever,nation,null
78838,528,live,pull,tell,follow,null
29126,760,alone,reflect,tell,sing,null
33044,197,development,finish,same,local,null
10246,861,democratic,every,stand,accept,null
63397,539,book,bar,personal,rest,null
30172,496,free,tell,among,hard,null
39479,461,strategy,side,station,low,null
36573,831,as,leg,common,service,null
35890,330,everybody,executive,skin,tonight,null
5075,640,loss,west,should,discuss,null
38117,850,will,maybe,speak,ask,null
46792,87,tree,idea,collection,form,null
52051,825,trouble,include,five,protect,null
20933,194,long,international,he,life,null
45207,953,ago,cause,write,city,null
28457,321,their,lawyer,data,minute,null
42077,503,receive,everything,buy,score,null
18184,611,especially,likely,ago,question,null
77814,456,international,consider,board,whatever,null
73658,857,seven,remain,instead,trip,null
19858,895,possible,start,final,sound,null
5412,798,onto,meeting,meet,animal,null
67707,352,career,these,director,way,null
36943,216,thus,including,modern,discuss,null
49523,344,even,hospital,himself,rate,null
28734,576,total,minute,baby,series,null
63952,884,accept,hold,prove,tend,null
4753,701,when,movie,Mrs,believe,null
79497,890,son,project,this,television,null
64972,203,a,might,daughter,might,null
17021,491,dream,sell,fight,not,null
