1,center,138
2,outside,583
3,throw,868
4,suffer,822
5,south,783
6,at,65
7,especially,262
8,buy,121
9,mission,508
10,sort,780
11,listen,461
12,marriage,484
13,reach,668
14,hundred,389
15,story,808
16,determine,215
17,between,97
18,method,500
19,air,30
20,walk,915
21,thing,856
22,in,400
23,lead,444
24,political,623
25,sound,781
26,speak,786
27,able,3
28,safe,713
29,like,457
30,exactly,273
31,set,739
32,suffer,822
33,drop,235
34,perhaps,606
35,you,968
36,blue,105
37,week,924
38,friend,326
39,allow,32
40,age,23
41,agree,27
42,rate,666
43,number,555
44,act,10
45,wrong,962
46,upon,903
47,I,391
48,rich,703
49,direction,222
50,knowledge,993
51,she,433
52,air,744
53,news,30
54,doctor,541
55,south,228
56,left,783
57,wrong,449
58,mission,962
59,on,508
60,early,567
61,hair,239
62,during,354
63,research,237
64,discuss,694
65,sort,225
66,machine,780
67,figure,471
68,with,976
69,age,297
70,keep,949
71,third,23
72,whom,427
73,only,858
74,win,939
75,quality,570
76,black,945
77,cultural,658
78,professional,103
79,shake,191
80,trade,645
81,fine,742
82,camera,881
83,situation,304
84,go,124
85,war,761
86,set,341
87,seek,918
88,month,739
89,would,997
90,knowledge,729
91,movement,513
92,themselves,959
93,whether,991
94,religious,433
95,customer,520
96,floor,850
97,federal,933
98,people,687
99,us,195
100,money,311
101,throughout,291
102,yeah,602
103,mouth,997
104,increase,904
105,perform,512
106,tonight,867
107,already,964
108,media,518
109,eight,403
110,six,604
111,subject,874
112,international,36
113,join,492
114,red,249
115,consumer,762
116,hit,817
117,official,414
118,us,425
119,scientist,681
120,stand,178
121,represent,376
122,sing,562
123,house,904
124,before,720
125,leg,795
126,record,691
127,movie,756
128,box,384
129,start,89
130,common,450
131,near,680
132,though,521
133,increase,111
134,hospital,798
135,might,168
136,significant,534
137,all,861
138,manager,403
139,animal,380
140,foot,502
141,score,751
142,thus,31
143,possible,481
144,personal,45
145,particular,316
146,indeed,721
147,radio,869
148,conference,630
149,concern,608
150,morning,593
151,dream,404
152,actually,663
153,spend,175
154,decision,173
155,notice,515
156,wife,233
157,trade,13
158,official,790
159,each,205
160,interview,553
161,my,943
162,guy,881
163,throw,562
164,participant,238
165,head,415
166,machine,527
167,where,353
168,exist,976
169,receive,868
170,official,592
171,politics,362
172,shoulder,471
173,accept,932
174,identify,276
175,step,676
176,tough,562
177,tend,624
178,various,981
179,writer,747
180,sit,6
181,music,393
182,table,803
183,carry,878
184,natural,841
185,star,978
186,option,908
187,describe,961
188,last,759
189,arrive,525
190,medical,829
191,true,133
192,his,532
193,over,797
194,once,575
195,decision,211
196,yeah,437
197,mother,973
198,job,58
199,memory,493
200,tax,891
201,heavy,374
202,join,584
203,half,568
204,ability,205
205,nothing,964
206,now,517
207,price,424
208,stop,497
209,position,833
210,glass,366
211,low,425
212,plan,355
213,ahead,2
214,summer,552
215,drug,554
216,prove,639
217,cost,806
218,oil,628
219,pattern,340
220,course,470
221,traditional,615
222,benefit,29
223,success,824
224,ok,236
225,subject,651
226,today,182
227,technology,564
228,word,599
229,especially,186
230,alone,882
231,thought,94
232,yet,818
233,report,565
234,avoid,817
235,because,872
236,trip,837
237,adult,954
238,local,262
239,address,34
240,somebody,862
241,someone,967
242,fast,690
243,enjoy,73
244,exist,86
245,break,889
246,subject,18
247,probably,464
248,crime,15
249,guy,773
250,fill,774
251,available,288
252,computer,256
253,collection,276
254,especially,113
255,news,817
256,concern,640
257,realize,190
258,explain,353
259,raise,298
260,seek,72
261,financial,172
262,look,164
263,scientist,262
264,fund,541
265,model,975
266,matter,173
267,build,673
268,agent,280
269,forget,664
270,imagine,729
271,gun,302
272,know,466
273,style,720
274,cup,330
275,evening,509
276,boy,486
277,environment,117
278,we,25
279,show,320
280,Mrs,396
281,determine,352
282,police,432
283,lay,816
284,technology,193
285,against,265
286,down,112
287,affect,260
288,industry,922
289,child,748
290,also,523
291,serve,215
292,college,989
293,like,621
294,sea,443
295,move,837
296,resource,999
297,last,22
298,off,231
299,there,19
300,discussion,407
301,professor,150
302,subject,37
303,run,737
304,name,983
305,little,165
306,dog,457
307,need,722
308,range,519
309,allow,695
310,indicate,437
311,Republican,558
312,parent,853
313,suggest,226
314,full,1000
315,receive,646
316,program,817
317,last,712
318,artist,529
319,sing,462
320,fire,229
321,car,537
322,difference,665
323,type,32
324,anyone,405
325,follow,692
326,avoid,590
327,town,823
328,ball,329
329,force,676
330,whose,647
331,wrong,437
332,fire,61
333,six,756
334,cold,306
335,keep,129
336,other,992
337,entire,218
338,case,897
339,across,49
340,option,314
341,unit,73
342,to,880
343,always,79
344,performance,318
345,ten,940
346,director,962
347,wear,306
348,over,762
349,magazine,163
350,Congress,427
351,their,579
352,trip,259
353,true,134
354,state,9
355,score,575
356,prevent,900
357,Mr,871
358,always,39
359,human,605
360,deep,840
361,hand,223
362,bit,986
363,describe,923
364,painting,584
365,represent,472
366,watch,176
367,lead,848
368,perhaps,889
369,daughter,891
370,mind,998
371,body,799
372,writer,721
373,reduce,638
374,in,522
375,fine,39
376,mother,388
377,money,206
378,adult,356
379,gas,102
380,population,211
381,try,588
382,interest,691
383,we,919
384,father,444
385,affect,606
386,close,199
387,deep,505
388,toward,107
389,generation,961
390,talk,682
391,order,400
392,stay,304
393,central,517
394,group,512
395,laugh,18
396,different,334
397,exactly,627
398,represent,893
399,big,412
400,third,922
401,hundred,289
402,work,19
403,officer,161
404,guy,206
405,who,879
406,us,336
407,third,831
408,right,577
409,nor,802
410,memory,139
411,special,348
412,no,440
413,easy,219
414,attention,273
415,share,691
416,amount,99
417,become,858
418,cell,389
419,condition,955
420,compare,561
421,whether,353
422,nothing,937
423,different,904
424,executive,858
425,song,704
426,go,548
427,plan,497
428,move,787
429,thought,546
430,especially,241
431,hold,67
432,ground,743
433,grow,42
434,build,87
435,film,137
436,easy,174
437,trip,171
438,yet,933
439,PM,552
440,state,219
441,senior,275
442,very,778
443,middle,341
444,central,615
445,particularly,519
446,ok,862
447,speech,262
448,body,377
449,full,347
450,among,349
451,investment,117
452,baby,299
453,husband,241
454,tree,889
455,story,967
456,choice,619
457,them,799
458,car,978
459,growth,733
460,building,909
461,possible,501
462,people,139
463,station,594
464,with,565
465,human,789
466,ball,107
467,own,329
468,oil,41
469,door,417
470,others,75
471,beat,390
472,example,887
473,his,808
474,vote,151
475,find,849
476,organization,129
477,nor,350
478,wish,118
479,building,630
480,lot,602
481,watch,801
482,factor,949
483,box,388
484,stop,79
485,answer,585
486,their,564
487,find,230
488,actually,580
489,positive,84
490,religious,976
491,address,274
492,benefit,374
493,job,913
494,building,303
495,that,578
496,value,548
497,strategy,948
498,among,118
499,cup,469
500,education,919
501,stock,284
502,peace,111
503,know,806
504,color,47
505,business,848
506,little,303
507,computer,13
508,responsibility,629
509,effort,687
510,cold,15
511,six,94
512,through,424
513,board,118
514,learn,846
515,whether,907
516,human,809
517,sure,41
518,occur,193
519,where,246
520,television,805
521,financial,601
522,oil,432
523,environment,166
524,seek,119
525,me,462
