712519,364,12420085
1027924,706,7026731
1025188,532,12190646
423178,501,7536784
1060676,133,16206502
708833,890,10961118
593062,741,469269
931537,776,16223273
732463,932,11307275
389020,166,733123
1290844,827,6164198
406497,140,189506
927610,829,3542518
311161,63,5809354
897362,612,9196060
695635,937,12217503
554495,645,3596784
1116308,112,503797
924905,848,2027946
377261,587,5415754
1304784,638,10373233
591008,257,12816035
1301002,159,6850604
890401,647,8943255
1104800,244,7984820
837165,811,11088635
1015526,662,9628159
595538,375,7995377
1308163,714,14870884
379442,992,280589
1224142,648,2444785
731712,646,2954345
1246764,633,6689066
1210928,243,2917133
770096,191,9274333
436634,432,11967911
1141271,372,13937015
453717,560,10440971
310980,663,13161207
858282,847,1141195
522621,57,15519842
645311,738,16150705
1044607,928,15023004
586701,625,6211715
875860,810,9066128
437814,346,14968180
1272090,818,1487183
460194,140,1461039
571280,469,2529487
1253435,313,9574122
1237794,779,3517909
685353,692,12414313
816561,125,3855078
496375,426,4263277
710680,760,6753173
612234,739,7057762
1034078,356,4783182
285158,785,8387366
1034730,163,8489073
836413,191,2731779
1006359,863,7002420
381225,971,12377740
554497,239,2173662
676091,384,8364486
935652,297,9473502
853561,525,11839715
368449,240,5166985
845089,805,12868428
632886,887,4206325
759136,756,13431907
898518,412,2730326
1234683,851,11139778
815363,204,11386816
722558,69,3617235
611028,152,6045479
530696,455,6002674
390227,254,8050854
1038032,604,16374168
1256374,609,9772974
682519,490,13957661
1073407,436,14635180
429064,441,7395596
567235,366,1560943
553996,290,2414805
597667,524,8861228
751392,391,7947953
741137,21,9212907
504541,329,16222361
1294120,150,15162491
894500,175,8027673
614694,824,3007602
583172,857,4056423
897572,725,2168673
1192226,819,16516648
595018,861,8044288
863751,900,10566824
291524,999,6215452
951975,729,13198314
611586,349,1739329
589560,324,31165
544723,965,4466821
1294048,664,13460400
1155852,156,6664679
1308008,632,8928423
613118,766,8470774
851546,317,9236429
692022,862,1745210
998394,385,256298
1021621,147,5443421
768852,215,14607067
752044,859,3502061
800774,226,6206365
727750,740,11708098
304968,172,5349858
392498,664,4509022
1265262,543,7635439
917341,925,15446358
1195927,337,2252708
663764,325,6295908
750744,598,14887542
866694,900,12589803
1246277,98,6001730
650282,209,8849312
1016990,961,11948542
948418,816,13348093
1136350,370,6756527
926385,155,13876706
688013,395,12941376
1228158,61,16416512
428896,323,11516277
539366,464,7956248
1240441,481,5871148
474183,724,13508728
1196953,41,8581926
651403,44,6709210
689893,275,11253777
1122243,315,10393979
414154,301,5564690
813210,251,9977905
1002962,362,2874542
1014440,704,6724061
284281,930,341515
1107971,539,13209351
1064335,141,3895726
381710,598,1347075
767802,554,6576869
605579,597,4287362
1079920,820,10225098
1083426,301,9410212
1191492,758,11678540
1047801,501,10032416
455515,33,13158006
1115493,153,8711224
779117,793,10487083
294845,177,12289942
759341,594,8489247
1236322,74,9719502
352370,105,8810365
547011,14,12871304
497234,383,9571587
1283145,673,4936559
576200,597,1433027
821643,950,12925509
922955,206,9177502
1074450,712,16473947
758768,768,1127278
577232,505,1076541
327440,868,1092683
649300,826,211972
1205438,388,15419953
1285399,950,3581509
665952,830,8392710
805910,31,5118230
1162169,386,12877278
1190589,785,1925597
617748,442,4535806
314052,165,10137656
1071416,414,12201753
415810,104,3629976
839675,331,15527646
773103,23,10528903
393150,453,3121394
304169,533,7459053
1036794,216,12034855
456107,328,6226950
739811,879,11656405
1021464,62,2598597
308016,34,1897195
611317,178,11423852
425824,830,7049010
1254641,806,4511986
457190,320,7556459
774898,171,9361899
651950,380,10928322
1299717,362,5564106
1262145,908,10996654
280185,237,145893
361049,616,8482174
853413,108,7351133
403009,198,6390059
1160335,766,9691034
350958,122,9827995
1247346,200,9436013
485021,523,13741093
865960,720,6346151
334778,846,2128365
324626,119,421885
1205613,526,2405719
520805,452,7838094
387693,810,10004933
780394,775,11390273
908103,113,15922882
418678,934,7598552
573390,317,5899860
292910,740,3465999
380892,342,8824191
1165470,34,15909656
567503,52,5190151
1052800,600,14165995
650155,900,3471908
1263491,799,2837377
1093161,470,14071433
835833,668,6929775
859030,42,12055706
485772,804,11535271
320375,98,9657005
1083437,348,15958533
1074875,959,16577822
925768,522,11340722
1118291,449,15373149
612671,373,15654633
766663,764,8648163
1272605,662,7844233
489993,890,8165676
1030328,936,13336052
565912,39,13412582
1083903,911,4383021
1100129,764,2280054
647701,118,15657629
1268051,780,2799328
991975,5,6398525
438543,624,12800987
682432,989,4805279
306233,726,9644514
962323,887,11238728
438333,195,3825631
360058,35,9415212
958847,379,11399996
639342,469,11428279
