366706,593,133,perform,find,exist,null
808562,937,292,order,must,assume,null
1243018,567,712,indicate,really,bad,null
668853,858,623,wonder,peace,thank,null
728660,678,99,benefit,building,maybe,null
1262904,64,164,quality,good,central,null
1007811,950,362,indicate,feel,eye,null
792081,788,346,treat,rather,determine,null
1000421,294,527,prepare,matter,foreign,null
1227572,308,629,be,hope,crime,null
465184,76,904,most,middle,will,null
686779,973,607,two,argue,particularly,null
826298,346,624,staff,door,card,null
412704,126,872,movie,care,he,null
539351,120,670,help,on,weight,null
1245094,753,98,approach,build,art,null
312263,344,101,red,per,current,null
1041136,337,616,data,tonight,church,null
1069997,743,158,rise,visit,Republican,null
352271,724,146,cost,forget,easy,null
359490,25,467,address,administration,key,null
740065,99,268,least,little,expect,null
903524,691,830,president,worker,ask,null
1091115,590,99,seven,difference,among,null
314503,89,382,fear,police,stay,null
640023,401,449,feel,chance,center,null
980838,987,109,forward,those,politics,null
1159812,720,318,second,many,fast,null
1146272,312,87,along,official,serve,null
618744,102,450,teacher,budget,role,null
664251,744,629,control,close,beat,null
1031246,83,322,development,picture,stop,null
330490,569,159,drop,system,style,null
883934,794,392,field,deal,discover,null
786837,462,184,thing,alone,money,null
522095,798,59,direction,field,bill,null
1207669,255,700,act,middle,fall,null
1011003,735,642,mind,add,trade,null
618875,456,520,get,eye,performance,null
968464,315,744,thank,chance,scientist,null
1064391,778,793,east,step,sing,null
711130,621,161,feel,boy,usually,null
734945,286,654,officer,appear,senior,null
870202,912,310,method,perhaps,network,null
557772,777,735,business,color,child,null
793877,186,695,not,great,pattern,null
402866,860,488,everybody,manage,education,null
1019263,142,695,various,technology,unit,null
1035133,343,339,choose,though,American,null
322996,789,84,at,yes,marriage,null
1169054,787,436,indicate,health,service,null
981716,516,458,middle,his,player,null
801266,115,559,toward,system,accept,null
1179735,237,870,daughter,expert,budget,null
864110,215,667,we,beautiful,often,null
592025,788,252,treat,maybe,recent,null
1202250,506,348,create,tough,morning,null
973229,104,977,know,result,matter,null
638923,670,101,garden,stock,administration,null
865631,304,152,prevent,black,remain,null
446156,683,310,face,government,detail,null
1301251,346,306,suggest,happen,note,null
398504,441,180,community,north,but,null
1165758,849,923,speak,once,check,null
1152663,211,456,write,probably,fire,null
1165896,518,11,be,across,rest,null
494737,349,837,pretty,entire,century,null
419720,70,484,production,already,interview,null
683074,918,118,amount,reality,behavior,null
1214177,40,628,know,though,about,null
922060,68,710,young,country,today,null
998264,61,659,enough,director,hotel,null
349136,820,17,fire,choose,still,null
875340,33,113,produce,role,attention,null
1122185,104,181,everybody,interest,character,null
289632,747,650,step,economy,or,null
950355,502,48,carry,plant,account,null
637992,592,310,father,special,appear,null
382534,765,1,reality,four,hear,null
302076,71,558,hotel,career,term,null
549822,207,749,site,manager,short,null
1038292,680,668,your,run,international,null
575185,584,288,rock,least,expect,null
571145,193,159,soldier,recently,with,null
928266,339,696,lead,look,nothing,null
874432,582,691,heart,indicate,dinner,null
407710,114,13,activity,this,beyond,null
1078406,185,478,near,answer,lead,null
280387,928,965,our,improve,will,null
303814,219,353,method,wait,require,null
1248044,188,297,direction,section,still,null
698757,814,902,those,building,even,null
1259343,738,1000,development,hard,because,null
598523,553,256,break,vote,almost,null
1267059,403,515,upon,some,fine,null
567066,71,230,perform,chance,third,null
802487,930,76,behind,last,suffer,null
1282045,833,328,message,blue,serious,null
1080467,392,88,phone,through,she,null
370444,429,233,must,vote,Mrs,null
745309,355,472,news,dream,few,null
1293764,969,66,green,personal,pattern,null
1019169,297,678,dark,standard,during,null
854024,362,397,dream,person,kid,null
598042,663,148,husband,learn,real,null
412040,21,368,how,product,weight,null
710420,54,845,thought,TV,generation,null
729600,618,598,standard,him,shoulder,null
