1,against,test,null,null,null
2,citizen,institution,null,null,null
3,their,debate,null,null,null
4,they,discussion,null,null,null
5,speak,eye,null,null,null
6,out,outside,null,null,null
7,give,hot,null,null,null
8,half,specific,null,null,null
9,listen,reason,null,null,null
10,treat,catch,null,null,null
11,measure,enter,null,null,null
12,cold,word,null,null,null
13,ability,doctor,null,null,null
14,despite,responsibility,null,null,null
15,table,doctor,null,null,null
16,environmental,lot,null,null,null
17,reveal,tough,null,null,null
18,yes,choose,null,null,null
19,claim,level,null,null,null
20,at,authority,null,null,null
21,debate,above,null,null,null
22,prevent,yourself,null,null,null
23,raise,worry,null,null,null
24,season,vote,null,null,null
25,tonight,ability,null,null,null
26,race,cell,null,null,null
27,customer,ago,null,null,null
28,past,almost,null,null,null
29,set,old,null,null,null
30,capital,environment,null,null,null
31,hand,sport,null,null,null
32,social,environment,null,null,null
33,reason,business,null,null,null
34,one,something,null,null,null
35,green,miss,null,null,null
36,well,participant,null,null,null
37,on,rock,null,null,null
38,speech,summer,null,null,null
39,environment,close,null,null,null
40,sound,decade,null,null,null
41,goal,knowledge,null,null,null
42,moment,interview,null,null,null
43,mother,left,null,null,null
44,state,start,null,null,null
45,bar,step,null,null,null
46,full,indeed,null,null,null
47,ahead,college,null,null,null
48,value,quickly,null,null,null
49,dog,decide,null,null,null
50,decade,meeting,null,null,null
51,land,interesting,null,null,null
52,week,theory,null,null,null
53,sister,onto,null,null,null
54,thus,half,null,null,null
55,state,voice,null,null,null
56,relationship,feeling,null,null,null
57,according,free,null,null,null
58,line,fine,null,null,null
59,else,budget,null,null,null
60,argue,standard,null,null,null
61,series,four,null,null,null
62,performance,least,null,null,null
63,fight,throw,null,null,null
64,choose,spend,null,null,null
65,benefit,shake,null,null,null
66,property,finally,null,null,null
67,Republican,plan,null,null,null
68,defense,TV,null,null,null
69,rest,task,null,null,null
70,interesting,buy,null,null,null
71,college,easy,null,null,null
72,similar,because,null,null,null
73,military,section,null,null,null
74,almost,begin,null,null,null
75,north,son,null,null,null
76,smile,suddenly,null,null,null
77,meet,administration,null,null,null
78,information,party,null,null,null
79,center,involve,null,null,null
80,still,make,null,null,null
81,nothing,national,null,null,null
82,organization,interest,null,null,null
83,our,agent,null,null,null
84,whether,third,null,null,null
85,two,health,null,null,null
86,animal,sing,null,null,null
87,investment,participant,null,null,null
88,out,support,null,null,null
89,night,consider,null,null,null
90,issue,measure,null,null,null
91,agreement,girl,null,null,null
92,entire,environment,null,null,null
93,country,issue,null,null,null
94,line,arrive,null,null,null
95,thought,yourself,null,null,null
96,sound,right,null,null,null
97,civil,professor,null,null,null
98,quite,magazine,null,null,null
99,material,will,null,null,null
100,out,recent,null,null,null
101,attack,plant,null,null,null
102,newspaper,large,null,null,null
103,final,understand,null,null,null
