15,183,phone,better,from,live,null
62,992,east,born,author,family,null
70,829,only,action,word,writer,null
63,102,scene,chair,until,traditional,null
39,213,task,future,race,white,null
57,899,activity,think,social,upon,null
1,388,child,best,accept,particularly,null
48,484,wait,soldier,claim,hundred,null
72,518,during,style,effort,term,null
53,335,black,message,hold,note,null
46,196,nature,rock,or,mouth,null
1,159,per,impact,little,trial,null
64,898,decade,car,think,education,null
44,231,city,budget,owner,often,null
32,798,window,need,government,international,null
44,468,response,place,traditional,tax,null
23,559,pay,role,full,where,null
6,767,type,try,interest,during,null
49,734,nor,mission,bank,wide,null
25,115,direction,sister,court,follow,null
70,891,man,recently,on,within,null
18,274,success,year,never,agreement,null
65,575,through,a,real,treat,null
59,836,likely,least,include,four,null
32,335,impact,defense,born,skill,null
20,758,relate,carry,them,experience,null
44,641,allow,send,prevent,discuss,null
76,450,beat,happy,tell,three,null
