1,worry,understand,null,null,null
2,part,brother,null,null,null
3,couple,three,null,null,null
4,quite,door,null,null,null
5,it,reduce,null,null,null
6,large,morning,null,null,null
7,front,seem,null,null,null
8,beat,garden,null,null,null
9,participant,follow,null,null,null
10,newspaper,modern,null,null,null
11,send,identify,null,null,null
12,agent,best,null,null,null
13,trip,take,null,null,null
14,speech,analysis,null,null,null
15,mention,recently,null,null,null
16,term,behavior,null,null,null
17,beat,city,null,null,null
18,history,near,null,null,null
19,ball,high,null,null,null
20,suggest,teacher,null,null,null
21,month,wide,null,null,null
22,fund,south,null,null,null
23,tend,system,null,null,null
24,whose,sign,null,null,null
25,notice,order,null,null,null
26,head,run,null,null,null
27,region,imagine,null,null,null
28,town,difficult,null,null,null
29,material,mention,null,null,null
30,how,protect,null,null,null
31,exactly,account,null,null,null
32,actually,sea,null,null,null
33,change,miss,null,null,null
34,picture,party,null,null,null
35,century,view,null,null,null
36,watch,else,null,null,null
37,dog,movement,null,null,null
38,sort,far,null,null,null
39,resource,interview,null,null,null
40,front,bill,null,null,null
41,share,ago,null,null,null
42,my,girl,null,null,null
43,behavior,financial,null,null,null
44,chance,suffer,null,null,null
45,defense,walk,null,null,null
46,model,successful,null,null,null
47,fire,thought,null,null,null
48,foreign,expect,null,null,null
49,fact,difference,null,null,null
50,step,speak,null,null,null
51,provide,really,null,null,null
52,yes,question,null,null,null
53,will,break,null,null,null
54,happy,feel,null,null,null
55,artist,once,null,null,null
56,military,tonight,null,null,null
57,challenge,enter,null,null,null
58,city,new,null,null,null
59,available,career,null,null,null
60,name,century,null,null,null
61,really,chair,null,null,null
62,various,now,null,null,null
63,nice,rise,null,null,null
64,public,former,null,null,null
65,style,sure,null,null,null
66,argue,suddenly,null,null,null
67,usually,husband,null,null,null
68,open,yes,null,null,null
69,federal,will,null,null,null
70,throughout,head,null,null,null
71,on,green,null,null,null
72,particular,heart,null,null,null
73,cup,brother,null,null,null
74,record,best,null,null,null
75,little,eat,null,null,null
76,point,research,null,null,null
77,onto,near,null,null,null
78,run,social,null,null,null
79,decade,specific,null,null,null
80,available,time,null,null,null
