9479,554,federal,cut,West Katherine,window,herself,fine
14675,433,in,teacher,Crystalton,my,leader,onto
16580,797,from,process,Josephmouth,relationship,theory,within
9538,974,hair,but,Jamesburgh,position,nature,then
17077,917,project,subject,Terrimouth,far,player,particular
9925,950,nothing,itself,Perezside,claim,and,Mrs
14502,603,entire,bank,Kaitlinview,husband,authority,local
10555,525,huge,responsibility,Haleside,hit,high,visit
13643,486,treat,recent,Johnsonstad,event,bill,general
8981,977,floor,direction,Jaimeview,television,yes,sport
12961,477,third,energy,Tylerport,other,himself,son
10704,698,time,during,Lake Martinmouth,design,yet,let
10629,952,number,executive,Lake Brenda,nothing,result,he
14837,691,interest,story,Brucehaven,but,draw,use
14837,796,firm,answer,Mooreville,save,large,probably
12088,855,international,rate,Lake Jeffery,under,player,reach
17076,270,visit,candidate,Pruittstad,effect,science,figure
9592,826,analysis,same,Toddport,mind,seem,yeah
13309,734,discuss,no,Carlaville,career,American,upon
10113,285,them,suffer,Port Brittney,minute,direction,simply
10533,417,each,fly,West Kathrynchester,back,authority,wind
11986,412,theory,trade,Brendaburgh,with,consider,my
13612,455,collection,southern,Christinafurt,speech,time,send
12643,343,light,commercial,East Briannastad,rise,exactly,sometimes
17400,103,reveal,name,East Matthewside,not,billion,medical
13330,578,understand,maybe,Crawfordton,amount,now,floor
17410,47,local,company,Lake Henry,near,fear,risk
9450,358,ball,dog,Thomastown,sister,case,environment
9090,687,large,result,North Kenneth,risk,civil,begin
11293,102,challenge,field,West William,audience,he,still
17081,810,tree,star,Patricialand,require,allow,sea
17082,148,sound,feel,Lopezshire,close,mention,crime
15131,215,pay,enough,East Angie,structure,fine,tonight
9893,125,court,let,North Jeanette,loss,for,consider
10952,559,large,personal,North Julie,ago,director,happy
12477,163,be,fear,Michelleland,hot,set,fine
15454,71,often,to,East Walter,sense,decide,prepare
13931,11,arm,picture,Hartland,cover,into,among
17400,426,seven,a,South Ashley,scientist,process,information
13625,472,something,deal,West Richardside,fly,think,seem
13880,819,common,old,West Carrie,paper,how,win
14844,678,political,improve,West Christianmouth,avoid,wife,might
11513,222,white,stand,Davisshire,think,late,work
10267,470,usually,claim,South Sherryborough,about,poor,find
