10890,428,876,girl,environmental,create,null
8952,189,714,save,understand,paper,null
8868,86,307,quickly,job,improve,null
8981,365,252,floor,base,civil,null
11568,13,279,truth,city,approach,null
10303,421,253,civil,dream,any,null
16329,131,182,plant,appear,care,null
17762,276,545,choose,voice,author,null
13072,287,806,school,about,help,null
10987,235,89,customer,choice,expert,null
11054,576,548,act,professor,lose,null
12007,558,653,somebody,wear,employee,null
12146,174,830,another,avoid,mission,null
10609,534,615,information,phone,allow,null
11027,668,871,expert,box,pattern,null
12022,38,350,investment,read,able,null
11304,71,429,almost,road,need,null
10012,1,633,across,floor,television,null
13194,556,64,for,picture,step,null
11875,200,751,possible,debate,chair,null
11591,721,361,state,part,happy,null
9674,109,233,learn,goal,resource,null
17127,913,755,Mrs,group,who,null
15958,27,456,of,myself,idea,null
15283,925,108,black,in,special,null
14601,191,313,just,develop,land,null
17586,926,404,statement,less,maintain,null
16658,906,253,they,attack,all,null
13426,168,809,thousand,agreement,summer,null
10826,657,938,and,yet,system,null
16325,508,279,image,visit,conference,null
12535,662,835,blue,expect,can,null
17518,43,898,trip,note,enter,null
13000,695,949,goal,seven,wish,null
15563,471,487,data,herself,apply,null
13476,905,995,old,dream,huge,null
12107,971,913,talk,able,standard,null
16733,82,667,arrive,number,history,null
9617,595,332,big,amount,treat,null
9898,762,495,decade,fact,some,null
15489,432,642,worker,social,past,null
14921,124,26,effect,party,any,null
15824,75,144,area,program,call,null
13015,338,237,nearly,state,prove,null
15753,549,933,need,hope,drive,null
14912,551,34,structure,simply,run,null
9724,938,711,condition,start,dog,null
17636,99,266,prepare,notice,grow,null
9291,931,523,evening,very,where,null
14802,113,935,plan,different,get,null
10782,242,300,amount,language,fish,null
12613,224,21,through,behind,increase,null
9343,679,931,because,strategy,account,null
14639,566,297,stock,speak,religious,null
16161,294,586,arm,myself,executive,null
17640,139,128,themselves,production,cultural,null
14860,573,829,after,subject,see,null
15865,466,317,matter,charge,central,null
9575,969,552,sing,they,drug,null
10738,676,113,nearly,action,enough,null
8852,522,42,partner,professor,subject,null
14948,625,628,guess,interesting,rock,null
16136,967,617,daughter,board,a,null
8949,245,820,strategy,spend,international,null
