16,991,242,195,null
17,137,99,349,null
8,752,976,648,null
2,854,467,596,null
15,950,519,143,null
14,586,965,433,null
14,529,325,864,null
16,16,370,220,null
13,318,826,76,null
3,941,330,118,null
12,738,14,435,null
11,148,374,678,null
16,908,205,573,null
11,691,513,881,null
13,216,969,560,null
11,21,439,5,null
15,265,44,156,null
11,906,805,264,null
15,178,931,588,null
15,549,106,53,null
6,804,297,718,null
18,534,337,745,null
10,433,571,506,null
8,212,146,656,null
5,384,910,176,null
7,179,871,978,null
14,907,374,233,null
4,705,864,264,null
13,143,564,570,null
4,543,971,271,null
12,173,123,696,null
9,330,144,956,null
4,882,762,693,null
11,246,855,740,null
13,511,116,135,null
9,364,286,958,null
4,858,276,484,null
14,696,221,285,null
2,11,316,65,null
9,334,860,975,null
