82764,691,bed,authority,644
144399,912,difficult,dog,741
41433,196,million,dream,438
111036,323,impact,land,637
67789,21,cover,radio,937
66078,486,above,building,476
130844,967,short,box,190
59765,364,PM,property,295
27119,765,chance,become,579
30451,461,way,sure,941
46606,703,stop,I,903
145052,657,give,lose,657
110488,923,happy,base,759
110879,327,deal,carry,428
72283,16,boy,yes,952
75781,627,friend,window,635
108540,679,suddenly,whole,487
83852,995,pattern,seek,582
28143,888,must,toward,360
54688,324,shoulder,southern,838
73857,374,decision,street,629
142676,522,imagine,consumer,969
143271,251,discuss,perhaps,729
35697,341,eight,stage,906
66532,644,property,such,678
91850,521,commercial,camera,894
130023,186,our,always,511
125850,113,newspaper,its,413
84198,915,issue,mission,557
103261,553,tough,tough,271
65520,865,would,value,852
88981,361,brother,near,198
70808,813,right,training,189
77561,816,argue,be,174
88714,895,big,defense,229
77560,230,spring,help,743
106429,624,all,rise,102
100726,478,situation,glass,128
107111,712,positive,either,70
125089,75,hand,table,775
107933,51,sign,bed,639
144708,20,son,bank,822
122823,73,better,region,153
17452,619,tonight,head,493
54767,376,firm,care,313
85521,766,organization,table,856
127162,495,notice,address,130
17599,515,than,sport,61
8249,515,can,process,323
98198,154,city,treatment,723
149242,432,right,tough,945
38198,336,he,respond,963
66048,288,back,church,423
7993,154,process,resource,795
110719,978,business,degree,658
90575,764,ready,south,852
123142,754,fly,body,274
86044,689,ago,best,231
114451,612,capital,describe,315
107485,685,care,forget,578
9325,908,door,treatment,796
108209,759,free,husband,962
120138,169,improve,live,130
122274,218,discussion,effect,75
44424,959,article,car,784
93143,462,through,tax,816
70132,929,consumer,arrive,360
15,271,necessary,once,23
16408,490,ago,close,462
40865,285,market,magazine,868
65654,252,lot,model,931
23871,103,remain,owner,558
59350,298,worry,series,945
124144,53,force,as,111
129763,903,military,action,781
109357,298,hospital,fund,298
1529,503,record,task,592
90635,251,probably,research,839
22428,287,short,moment,851
66896,617,certainly,book,695
15484,683,meeting,adult,830
110415,307,issue,yard,795
90299,718,member,teach,813
58376,459,system,people,617
96727,204,son,piece,509
47083,121,material,test,33
21352,865,herself,recently,986
45964,366,Mrs,from,822
120956,59,per,rich,5
149957,405,method,itself,922
40257,606,black,community,947
2643,91,difficult,style,720
70316,488,five,seem,993
79234,15,tax,strategy,485
132903,936,song,reason,799
9372,183,something,race,652
144281,226,them,television,571
49891,832,agent,ask,792
12456,756,ahead,occur,253
84028,768,store,say,816
40874,63,medical,party,386
91350,567,lay,raise,50
20732,501,theory,leg,136
20376,527,police,season,284
89595,847,interesting,above,603
33811,66,time,western,420
64702,235,manage,try,686
79631,19,save,her,554
45335,126,successful,visit,180
121772,82,personal,idea,745
69363,131,goal,our,528
34297,197,clearly,service,869
45398,558,exactly,former,922
132223,878,evening,kid,388
134201,911,later,address,922
138268,396,tax,project,742
76252,545,let,exist,112
34604,826,expect,beyond,556
85176,344,leg,activity,352
146139,815,plan,learn,546
66344,55,front,next,651
7840,582,safe,wrong,673
30715,537,natural,want,746
138040,766,five,design,802
115752,301,choice,over,351
129428,317,structure,seem,328
142209,288,personal,project,743
72738,448,interesting,tend,427
35061,35,pull,including,696
115415,132,guy,southern,155
81991,302,arrive,bill,596
79603,42,recognize,brother,124
6705,926,present,environmental,401
54242,88,term,kind,554
39546,619,first,but,386
105684,722,by,north,938
102774,376,want,per,494
147891,211,family,in,214
28757,185,member,rule,316
42834,372,question,modern,121
116445,297,system,leg,792
123101,36,leg,decade,966
109556,566,successful,discover,95
53898,171,morning,try,67
49608,780,choose,national,106
146095,367,good,every,2
99242,577,out,should,387
149691,155,occur,eye,689
146191,180,score,I,605
102457,949,necessary,ever,394
55152,809,try,option,610
9728,441,see,raise,11
79642,843,cold,bed,402
96485,765,structure,heavy,768
62854,840,attention,organization,956
100626,381,factor,top,902
118082,452,offer,simply,294
51617,16,like,structure,722
46367,407,send,beautiful,413
110319,656,run,party,797
136832,332,others,over,127
133728,88,I,past,260
147148,865,simply,that,525
87765,517,already,pay,125
147646,938,let,behavior,495
127100,787,produce,wife,157
43664,144,would,explain,284
90567,172,kitchen,pick,634
63806,541,box,own,324
92999,740,avoid,nature,241
68058,40,stock,paper,445
57391,899,recent,scientist,707
7741,503,all,painting,61
81142,199,bill,growth,775
95573,579,according,yes,245
98400,645,look,hope,722
39161,73,performance,military,321
99976,777,my,themselves,493
100079,340,easy,chair,502
79374,170,series,child,677
106747,715,water,country,680
126132,509,lawyer,away,779
66587,141,move,economic,440
59113,84,believe,machine,710
135202,598,box,discussion,251
7494,313,brother,party,194
31229,281,mind,town,286
108664,872,certainly,child,1
80486,922,country,impact,922
82885,7,bad,through,625
132502,293,author,full,365
77202,105,against,nor,598
23848,677,throw,institution,642
18156,683,table,tonight,957
130068,440,fish,in,624
58706,966,management,very,548
102080,407,edge,might,604
132753,775,car,unit,352
83775,596,visit,court,936
114418,285,someone,course,356
4853,224,think,most,769
56959,493,hundred,effect,932
106837,931,both,meeting,421
81033,665,note,nothing,56
86511,982,ball,paper,709
89560,217,watch,camera,334
144270,577,first,today,604
75589,303,million,improve,509
113342,279,cover,assume,364
122157,941,attorney,feel,371
133315,401,development,us,327
86711,163,major,third,978
12259,746,source,his,108
73054,992,like,pass,521
16290,998,information,similar,420
63488,912,subject,against,243
18419,130,firm,the,934
66724,839,in,customer,581
54802,759,woman,wear,769
133796,222,reveal,each,958
28694,930,crime,describe,680
58921,963,center,here,409
66445,372,leg,possible,147
29222,1,customer,order,987
4336,922,brother,site,923
46619,323,continue,where,312
1318,104,board,various,97
34080,351,computer,sister,822
62171,543,agreement,nation,26
135535,363,across,difficult,877
106616,553,democratic,idea,259
68835,912,someone,gas,33
60454,183,conference,range,345
65462,81,care,describe,76
65685,477,full,appear,23
140155,776,some,very,969
138725,914,general,investment,287
118398,871,inside,kid,347
85130,701,compare,money,451
116380,996,room,rest,360
127428,437,six,half,394
51175,866,energy,certainly,72
17525,573,recently,ever,370
11071,888,behind,site,929
22062,546,budget,require,786
89942,418,person,partner,449
64470,391,develop,chair,502
136811,927,rise,modern,787
59865,399,throughout,big,881
19141,591,ago,style,381
70474,416,next,environment,523
10636,365,mind,over,501
43854,525,similar,worker,52
68085,359,month,current,595
38251,401,race,low,956
82078,501,player,reality,979
45379,164,citizen,effect,819
20586,740,kitchen,institution,800
113201,588,officer,service,60
150339,480,half,computer,188
145505,765,good,staff,364
35811,609,fact,what,852
136773,892,edge,three,222
2532,349,there,stuff,963
39172,899,between,sign,178
323,513,population,performance,543
62776,661,game,create,316
139933,432,once,high,425
77641,260,join,especially,3
71093,138,coach,purpose,316
71395,973,blood,program,727
48953,905,record,PM,781
72895,974,beautiful,drug,364
140975,483,similar,probably,993
135832,265,citizen,concern,702
71423,361,lay,ball,276
108545,719,age,issue,508
56965,887,chair,technology,358
129664,1000,happen,and,186
107640,201,prevent,family,86
78322,685,hear,century,403
97550,606,fund,study,775
113583,408,event,world,917
17903,855,relate,yourself,570
35909,561,executive,structure,720
97795,423,responsibility,huge,939
132056,166,my,it,409
131271,896,society,star,355
43015,204,heavy,choice,401
41120,879,tree,affect,483
48828,400,hour,see,386
126748,6,piece,imagine,963
3278,152,what,detail,578
58823,826,prevent,rule,1000
50107,552,station,daughter,859
147873,598,hand,kind,773
99254,182,leave,answer,905
30033,394,above,ok,274
87272,657,success,land,869
140687,720,fill,chance,728
20241,720,everybody,where,306
55644,781,walk,free,267
30091,425,skin,art,582
100648,112,performance,also,739
122713,737,success,whole,606
81190,650,lawyer,president,887
28295,738,possible,analysis,883
53069,297,of,table,409
147491,641,cell,cup,86
116475,33,leg,officer,175
12102,501,mind,ten,659
103932,235,plant,happy,167
103066,609,economic,quite,613
112172,592,much,want,82
81351,588,land,adult,496
56212,369,no,hold,989
91730,23,science,people,501
52669,300,worker,girl,353
119333,409,issue,from,666
134574,5,analysis,with,428
128528,909,guess,continue,500
118626,503,ever,seven,93
150048,896,and,believe,42
66132,523,throughout,blood,613
47598,817,meet,scene,379
65009,992,affect,away,553
5777,897,college,into,273
121821,821,money,between,829
91597,403,box,operation,43
129050,150,can,would,792
150099,704,medical,alone,104
141851,840,me,cut,966
150815,239,same,represent,627
13823,335,camera,shake,706
144127,98,understand,visit,176
66475,380,choice,land,215
117150,287,white,teacher,523
58118,197,front,choice,993
127021,95,about,plan,403
141996,528,very,thousand,583
43914,405,fund,sure,396
99338,588,at,the,446
90044,459,everybody,else,197
10810,166,claim,lay,996
18703,559,attention,seven,871
63506,827,this,computer,727
53011,541,control,for,379
47918,567,fall,stay,228
120889,213,recent,here,246
129224,842,image,wear,127
119331,386,by,subject,291
83977,593,character,include,300
100072,654,either,effort,33
140616,934,always,activity,904
121839,340,if,turn,694
9340,128,measure,specific,731
26093,859,focus,manager,202
96450,456,ask,not,772
